,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.05508723,0.05612149,0.05597598,0.055732064,0.05613787,0.05605633,0.056547265,0.056008425,0.055870976,0.056209963,0.056752846,0.056029677,0.05615554,0.055970192,0.05400475,0.05529438,0.056501985,0.05644823
1,0.0554612,0.056369085,0.05660651,0.05682328,0.054653015,0.054458596,0.05585182,0.056317,0.055988375,0.054619476,0.05572273,0.056719147,0.05509489,0.05561629,0.056363303,0.05585031,0.05640138,0.05646159
2,0.056049347,0.056432217,0.056088388,0.054732766,0.055448156,0.056350626,0.0547651,0.055984814,0.056937955,0.05619599,0.05612325,0.05691116,0.05654272,0.05595278,0.055928353,0.056766897,0.05593985,0.056565866
3,0.055562086,0.056375094,0.05591716,0.056199547,0.056181774,0.056101225,0.056983106,0.056574635,0.05627404,0.056882046,0.055730455,0.056313556,0.055391464,0.05584435,0.05677421,0.056655306,0.057725742,0.0577413
4,0.056678317,0.05663361,0.057001945,0.056611698,0.056906182,0.05731692,0.057157923,0.057635065,0.057704654,0.05766452,0.057812665,0.05823239,0.057977606,0.057979167,0.058510352,0.05824551,0.058140717,0.057684585
5,0.057092883,0.05728356,0.05666257,0.056765325,0.056702975,0.055215668,0.05655267,0.056725156,0.056544375,0.05703188,0.056385994,0.056771234,0.05754798,0.055213008,0.056769673,0.056004662,0.055942472,0.056448977
6,0.05588893,0.056525998,0.056992337,0.056886226,0.056459945,0.056805555,0.057259835,0.057044536,0.05716064,0.056988448,0.056494597,0.057012346,0.05700578,0.056886338,0.05519453,0.056143563,0.05669495,0.057252835
7,0.056959487,0.05619771,0.056126002,0.056860246,0.056987453,0.055092737,0.05672557,0.056177586,0.05434774,0.05564635,0.055959877,0.056153692,0.05603818,0.055977307,0.054785457,0.05502435,0.0557838,0.05512446
8,0.05478094,0.055939566,0.0561973,0.05513367,0.055084646,0.055428326,0.055062357,0.056129918,0.055725437,0.05616497,0.056362264,0.05604063,0.054608025,0.054660756,0.0560534,0.056047972,0.056022245,0.056005243
9,0.054557726,0.056114603,0.05574321,0.05493125,0.05461842,0.0559185,0.055763453,0.055904534,0.055625305,0.055695917,0.055897996,0.05641071,0.054971598,0.05598187,0.056486834,0.05691004,0.05732742,0.056901112
10,0.05622468,0.05668562,0.05670222,0.05633926,0.05586848,0.05635857,0.056578577,0.05678568,0.05670793,0.056650512,0.056635253,0.055174522,0.055248205,0.056692205,0.055677544,0.0572084,0.057215035,0.057580486
11,0.056945123,0.05625747,0.058157254,0.057733897,0.05562892,0.057337355,0.057240937,0.057712737,0.057452895,0.057348892,0.057022538,0.056446772,0.056066412,0.054389272,0.05580257,0.055883605,0.056210544,0.05517677
12,0.054895557,0.05654946,0.056553103,0.056664813,0.055647813,0.057605043,0.056980528,0.057282075,0.05714179,0.057544786,0.056035988,0.056755222,0.05653783,0.05712616,0.05697059,0.05534358,0.05749892,0.05731428
13,0.05579834,0.05611102,0.056757685,0.0567466,0.057479613,0.056926783,0.057143167,0.057606276,0.05712224,0.05706967,0.058042336,0.058382057,0.057565827,0.057741575,0.05587205,0.05596216,0.05808324,0.057565507
14,0.056993637,0.057890147,0.05604665,0.058286157,0.05824448,0.058055136,0.058067683,0.055830657,0.056573845,0.057928514,0.057156235,0.057419207,0.056758687,0.05679838,0.056212913,0.057268474,0.056851305,0.055876896
15,0.05536387,0.055500455,0.05656953,0.056156505,0.0565623,0.05647575,0.056782924,0.05681967,0.057462398,0.05761366,0.058078267,0.057555452,0.05888159,0.058271598,0.058394108,0.058048416,0.05770248,0.056932632
16,0.055904727,0.056295596,0.057029787,0.05613879,0.056882486,0.05518478,0.055714905,0.056217264,0.055557597,0.056596935,0.056273725,0.056749173,0.05636547,0.05660169,0.056419153,0.05660185,0.05672182,0.05615982
17,0.055183455,0.05459475,0.053391296,0.054584283,0.054197475,0.05403444,0.053610288,0.05348689,0.053883277,0.05393886,0.054106336,0.054527123,0.05554665,0.05553645,0.056391038,0.055394705,0.05734009,0.05684464
18,0.056727126,0.057869032,0.056505628,0.056459695,0.05487995,0.0560217,0.054639038,0.054779485,0.053650558,0.054075565,0.054122638,0.05471551,0.05429504,0.054275826,0.053114623,0.05393173,0.055050965,0.05512896
19,0.054871686,0.054383893,0.05384506,0.055171542,0.05471507,0.053941324,0.05403946,0.053473774,0.054514904,0.0538216,0.053449284,0.053539038,0.053039525,0.05411728,0.05536335,0.05435029,0.05414722,0.053811476
20,0.054089796,0.055157725,0.054387677,0.054112405,0.054775205,0.055004094,0.055035617,0.055348158,0.055612314,0.056081217,0.055252388,0.05514299,0.05468313,0.054696355,0.055133656,0.054758877,0.05536364,0.05546603
21,0.054630168,0.055539157,0.056120746,0.055774223,0.055857543,0.056154177,0.055719536,0.056267705,0.055502426,0.054926556,0.05625809,0.054016016,0.05495413,0.055977903,0.054860577,0.055819627,0.055539116,0.05486573
22,0.05460565,0.05489542,0.055238005,0.055701524,0.055586778,0.05412284,0.05503893,0.054195944,0.05522484,0.055101775,0.05597512,0.054672804,0.055891406,0.0551486,0.055978093,0.055563137,0.055231296,0.055458385
23,0.054868944,0.05464748,0.055152636,0.055837154,0.055657044,0.05569677,0.054772127,0.056706283,0.055861954,0.05601546,0.056476362,0.056971047,0.056311708,0.05751155,0.05686327,0.056857053,0.056915626,0.0574314
24,0.056383207,0.057408966,0.057520576,0.05780126,0.058118645,0.0582927,0.058575496,0.05914701,0.05799125,0.058160964,0.05887574,0.05797074,0.0582627,0.057576306,0.05785702,0.057699602,0.057247635,0.05702929
25,0.055900853,0.057312362,0.056885038,0.0566383,0.057657413,0.057118393,0.05747812,0.058320034,0.057612088,0.057560958,0.057389915,0.05797488,0.056354936,0.05818175,0.057456136,0.057162743,0.057014346,0.054716866
26,0.05486513,0.055518825,0.055396385,0.055236727,0.053906668,0.054614544,0.054941595,0.054320995,0.054832853,0.0551545,0.054774653,0.056115866,0.054982718,0.054043658,0.052800357,0.05450182,0.05406268,0.05347975
27,0.052449435,0.053466897,0.051841673,0.053033523,0.05284339,0.055001963,0.052936926,0.053824186,0.051895276,0.05258819,0.05373821,0.05415834,0.05492844,0.055052795,0.055089146,0.055348564,0.055562645,0.05518119
28,0.0539475,0.05504185,0.05464152,0.055300605,0.055511612,0.056541283,0.056305293,0.05668035,0.0556562,0.05604847,0.055811416,0.0553582,0.05594262,0.054864228,0.053932313,0.054881856,0.054862555,0.055569705
29,0.05428543,0.054794915,0.054637756,0.05355375,0.053816978,0.05511248,0.055396892,0.05663671,0.056087863,0.055581044,0.057018902,0.05754027,0.05730583,0.056743283,0.05661908,0.058309067,0.057181977,0.05763028
30,0.056175347,0.056618433,0.05661517,0.056633897,0.05585646,0.055974133,0.055315007,0.055815946,0.0559601,0.05668668,0.056344967,0.054726176,0.05651066,0.054703142,0.056045584,0.05625292,0.056146152,0.055602245
31,0.054674286,0.053977612,0.05443176,0.054613966,0.05542668,0.055253997,0.054381754,0.054602392,0.054906353,0.054286376,0.055114932,0.055340752,0.055983666,0.05555541,0.05503567,0.055426735,0.055250537,0.056044754
32,0.055027325,0.05510146,0.055877622,0.05561775,0.05579175,0.055643246,0.054433476,0.05630477,0.055521592,0.05407646,0.055581562,0.054448552,0.056396905,0.056055,0.055655003,0.054692857,0.055404607,0.055171512
33,0.055147287,0.054271042,0.054974575,0.054939445,0.055419214,0.054821663,0.055375583,0.055268258,0.05528624,0.054739695,0.055045288,0.054833256,0.055427138,0.055100877,0.055018507,0.05568896,0.05522761,0.05613336
34,0.055865563,0.055021975,0.05508781,0.054535247,0.05477293,0.054504864,0.05455524,0.055330973,0.05503656,0.055542953,0.0554948,0.056135662,0.056078777,0.055055942,0.05611452,0.055664606,0.056487925,0.056720924
35,0.05675973,0.05651678,0.056397304,0.05605789,0.056461867,0.055708267,0.056253627,0.0564207,0.055925712,0.055552594,0.056094427,0.055579714,0.05621672,0.054942172,0.055539228,0.05575006,0.055021126,0.05578792
36,0.056354083,0.056008585,0.056864552,0.057781797,0.057121553,0.057870757,0.055929746,0.056974307,0.055334836,0.056620046,0.057278417,0.055475377,0.056513682,0.05587695,0.055781122,0.056963995,0.05742028,0.056900788
