0	2958
1	1658
10	808
100	141
1000	17
10000	636
100000	156
1000000	11
1001	18
1002	21
1003	22
1004	19
1005	32
1006	20
1007	29
1008	20
1009	31
101	151
1010	27
1010000	13
1011	23
1012	28
1013	25
1014	18
1015	19
1016	17
1017	30
1018	22
1019	31
102	129
1020	24
1020000	18
1021	25
1022	24
1023	19
1024	17
1025	32
1026	33
1027	23
1028	34
1029	17
103	134
1030	21
1030000	16
1031	27
1032	28
1033	29
1034	25
1035	19
1036	29
1037	21
1038	35
1039	27
104	130
1040	23
1040000	19
1041	25
1042	27
1043	25
1044	33
1045	27
1046	18
1047	21
1048	22
1049	35
105	96
1050	22
1050000	22
1051	24
1052	17
1053	24
1054	30
1055	24
1056	31
1057	21
1058	19
1059	25
106	130
1060	25
1060000	19
1061	34
1062	18
1063	24
1064	22
1065	17
1066	28
1067	29
1068	23
1069	27
107	127
1070	19
1070000	22
1071	34
1072	25
1073	28
1074	19
1075	26
1076	28
1077	25
1078	18
1079	25
108	151
1080	30
1080000	14
1081	20
1082	28
1083	26
1084	15
1085	21
1086	17
1087	21
1088	28
1089	26
109	119
1090	23
1090000	23
1091	14
1092	26
1093	24
1094	19
1095	19
1096	26
1097	26
1098	27
1099	27
11	726
110	147
1100	19
11000	1210
110000	243
1100000	13
1101	22
1102	27
1103	27
1104	32
1105	22
1106	16
1107	21
1108	20
1109	26
111	134
1110	28
1110000	20
1111	21
1112	29
1113	27
1114	16
1115	21
1116	23
1117	27
1118	24
1119	25
112	141
1120	14
1120000	24
1121	22
1122	17
1123	23
1124	22
1125	33
1126	20
1127	24
1128	29
11280000	1
1129	18
113	112
1130	24
1130000	9
1131	24
1132	34
1133	20
1134	25
1135	20
1136	19
1137	26
1138	32
1139	25
114	121
1140	16
1140000	13
1141	14
1142	35
1143	29
1144	24
1145	24
1146	21
1147	25
1148	20
1149	19
115	144
1150	12
1150000	16
1151	25
1152	22
1153	24
1154	18
1155	28
1156	23
1157	21
1158	23
1159	29
116	127
1160	22
1160000	16
1161	19
1162	18
1163	21
1164	20
1165	37
1166	15
1167	18
1168	29
1169	18
117	118
1170	10
1170000	15
1171	15
1172	13
1173	28
1174	22
